Date : 2025-03-24 21:28:34
Directory : d:\information\IOT\learn\C\opensource\zlog
Total : 117 files,  8379 codes, 1646 comments, 1880 blanks, all 11905 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |         51 |      6,799 |      1,203 |      1,394 |      9,396 |
| C++          |         29 |        910 |        430 |        280 |      1,620 |
| cmake        |          9 |        300 |          0 |         92 |        392 |
| Properties   |         23 |        199 |         10 |         59 |        268 |
| Markdown     |          1 |        106 |          0 |         38 |        144 |
| Makefile     |          1 |         36 |          0 |          6 |         42 |
| Shell Script |          2 |         21 |          1 |          7 |         29 |
| YAML         |          1 |          8 |          2 |          4 |         14 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        117 |      8,379 |      1,646 |      1,880 |     11,905 |
| . (Files)                                                                  |          3 |        165 |          2 |         58 |        225 |
| cmake                                                                      |          3 |         67 |          0 |         23 |         90 |
| cpack                                                                      |          3 |         91 |          0 |         29 |        120 |
| cpack (Files)                                                              |          2 |         68 |          0 |         22 |         90 |
| cpack\zlog                                                                 |          1 |         23 |          0 |          7 |         30 |
| doc                                                                        |          1 |         25 |          1 |         11 |         37 |
| src                                                                        |         50 |      6,578 |      1,190 |      1,309 |      9,077 |
| test                                                                       |         56 |      1,436 |        452 |        446 |      2,334 |
| test (Files)                                                               |         55 |      1,414 |        452 |        441 |      2,307 |
| test\fuzzers                                                               |          1 |         22 |          0 |          5 |         27 |
| tools                                                                      |          1 |         17 |          1 |          4 |         22 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                   | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\information\IOT\learn\C\opensource\zlog\.clang-format                   | YAML         |          8 |          2 |          4 |         14 |
| d:\information\IOT\learn\C\opensource\zlog\CMakeLists.txt                  | cmake        |         51 |          0 |         16 |         67 |
| d:\information\IOT\learn\C\opensource\zlog\README.md                       | Markdown     |        106 |          0 |         38 |        144 |
| d:\information\IOT\learn\C\opensource\zlog\cmake\FindUnixem.cmake          | cmake        |         22 |          0 |          5 |         27 |
| d:\information\IOT\learn\C\opensource\zlog\cmake\LoadLibraries.cmake       | cmake        |         18 |          0 |          5 |         23 |
| d:\information\IOT\learn\C\opensource\zlog\cmake\toolchain-mingw64.cmake   | cmake        |         27 |          0 |         13 |         40 |
| d:\information\IOT\learn\C\opensource\zlog\cpack\CMakeLists.txt            | cmake        |         34 |          0 |          9 |         43 |
| d:\information\IOT\learn\C\opensource\zlog\cpack\CPackConfig.cmake         | cmake        |         34 |          0 |         13 |         47 |
| d:\information\IOT\learn\C\opensource\zlog\cpack\zlog\CMakeLists.txt       | cmake        |         23 |          0 |          7 |         30 |
| d:\information\IOT\learn\C\opensource\zlog\doc\zlog.conf                   | Properties   |         25 |          1 |         11 |         37 |
| d:\information\IOT\learn\C\opensource\zlog\src\CMakeLists.txt              | cmake        |         47 |          0 |         12 |         59 |
| d:\information\IOT\learn\C\opensource\zlog\src\buf.c                       | C            |        456 |        136 |         65 |        657 |
| d:\information\IOT\learn\C\opensource\zlog\src\buf.h                       | C++          |         32 |         19 |         13 |         64 |
| d:\information\IOT\learn\C\opensource\zlog\src\category.c                  | C            |        173 |         36 |         32 |        241 |
| d:\information\IOT\learn\C\opensource\zlog\src\category.h                  | C++          |         22 |         14 |          9 |         45 |
| d:\information\IOT\learn\C\opensource\zlog\src\category_table.c            | C            |         96 |         20 |         21 |        137 |
| d:\information\IOT\learn\C\opensource\zlog\src\category_table.h            | C++          |         14 |         15 |          7 |         36 |
| d:\information\IOT\learn\C\opensource\zlog\src\conf.c                      | C            |        624 |         71 |         85 |        780 |
| d:\information\IOT\learn\C\opensource\zlog\src\conf.h                      | C++          |         32 |         14 |         12 |         58 |
| d:\information\IOT\learn\C\opensource\zlog\src\event.c                     | C            |        119 |         46 |         29 |        194 |
| d:\information\IOT\learn\C\opensource\zlog\src\event.h                     | C++          |         66 |         14 |         20 |        100 |
| d:\information\IOT\learn\C\opensource\zlog\src\fmacros.h                   | C++          |         36 |          0 |          7 |         43 |
| d:\information\IOT\learn\C\opensource\zlog\src\format.c                    | C            |        124 |         23 |         25 |        172 |
| d:\information\IOT\learn\C\opensource\zlog\src\format.h                    | C++          |         17 |         14 |          9 |         40 |
| d:\information\IOT\learn\C\opensource\zlog\src\level.c                     | C            |        108 |         24 |         21 |        153 |
| d:\information\IOT\learn\C\opensource\zlog\src\level.h                     | C++          |         14 |         14 |          6 |         34 |
