"filename", "language", "C++", "Makefile", "Markdown", "HTML", "Shell Script", "Python", "Properties", "C", "JavaScript", "Ruby", "JSON", "YAML", "Batch", "Lua", "CSS", "XML", "cmake", "XSL", "comment", "blank", "total"
"d:\information\IOT\learn\C++\opensource\WebFileServer\README.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 72
"d:\information\IOT\learn\C++\opensource\WebFileServer\build.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\information\IOT\learn\C++\opensource\WebFileServer\event\myevent.cpp", "C++", 427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 112, 671
"d:\information\IOT\learn\C++\opensource\WebFileServer\event\myevent.h", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 33, 131
"d:\information\IOT\learn\C++\opensource\WebFileServer\fileserver\fileserver.cpp", "C++", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 244
"d:\information\IOT\learn\C++\opensource\WebFileServer\fileserver\fileserver.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 54
"d:\information\IOT\learn\C++\opensource\WebFileServer\html\fileitem.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"d:\information\IOT\learn\C++\opensource\WebFileServer\html\filelist.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 71
"d:\information\IOT\learn\C++\opensource\WebFileServer\main.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 43
"d:\information\IOT\learn\C++\opensource\WebFileServer\makefile", "Makefile", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\information\IOT\learn\C++\opensource\WebFileServer\message\message.h", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 43, 167
"d:\information\IOT\learn\C++\opensource\WebFileServer\threadpool\threadpool.cpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 120
"d:\information\IOT\learn\C++\opensource\WebFileServer\threadpool\threadpool.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 44
"d:\information\IOT\learn\C++\opensource\WebFileServer\utils\utils.cpp", "C++", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 103
"d:\information\IOT\learn\C++\opensource\WebFileServer\utils\utils.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 34
"d:\information\IOT\learn\C\opensource\redis\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -25
"d:\information\IOT\learn\C\opensource\redis\.github\ISSUE_TEMPLATE\crash_report.md", "Markdown", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -26
"d:\information\IOT\learn\C\opensource\redis\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -25
"d:\information\IOT\learn\C\opensource\redis\.github\ISSUE_TEMPLATE\other_stuff.md", "Markdown", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
